success,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,gaze_direction,overall_confidence,pupil_classification,pupil_detected,iris_detected,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_magnitude,concentricity_score,pupil_circularity,timestamp
True,0.0,11.8,0.0,Center,0.3754177570805505,Unknown,True,False,6,145,0,0,0.0,0.0,0.500557009440734,705.5
True,0.0,11.8,0.0,Center,0.4297657850530049,Unknown,True,False,45,128,0,0,0.0,0.0,0.5730210467373399,82.0
True,0.0,11.8,0.0,Center,0.49409442607681203,Unknown,True,False,190,23,0,0,0.0,0.0,0.658792568102416,858.0
True,0.0,11.8,0.0,Center,0.3035335777978273,Unknown,True,False,5,101,0,0,0.0,0.0,0.4047114370637697,1567.0
True,0.0,11.8,0.0,Center,0.2414469711449998,Unknown,True,False,0,135,0,0,0.0,0.0,0.3219292948599997,1236.0
True,0.0,11.8,0.0,Center,0.35667390132816706,Unknown,True,False,11,94,0,0,0.0,0.0,0.4755652017708894,810.5
True,0.0,11.8,0.0,Center,0.2931855451421387,Unknown,True,False,6,129,0,0,0.0,0.0,0.39091406018951824,1081.0
True,0.0,11.8,0.0,Center,0.2860985995717199,Unknown,True,False,96,128,0,0,0.0,0.0,0.3814647994289599,910.5
True,0.0,11.8,0.0,Center,0.27241985477627817,Unknown,True,False,177,92,0,0,0.0,0.0,0.3632264730350376,1467.0
True,0.0,11.8,0.0,Center,0.3173934872701025,Unknown,True,False,159,225,0,0,0.0,0.0,0.4231913163601367,1336.0
True,2.664516129032258,11.8,0.22580645161290322,Up-Right,0.6936717218566995,Normal,True,True,140,119,130,136,0.31811424069864547,0.36377151860270895,0.4586218234836947,1181.0
True,0.0,11.8,0.0,Center,0.22838500587532778,Unknown,True,False,3,137,0,0,0.0,0.0,0.3045133411671037,961.5
True,0.0,11.8,0.0,Center,0.37790721686236306,Unknown,True,False,166,217,0,0,0.0,0.0,0.5038762891498174,1347.0
True,0.0,11.8,0.0,Center,0.29542175729698383,Unknown,True,False,95,186,0,0,0.0,0.0,0.39389567639597844,1416.0
True,0.0,11.8,0.0,Center,0.3360330550049213,Unknown,True,False,199,9,0,0,0.0,0.0,0.44804407333989504,1247.0
True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,27,26,0,0,0.0,0.0,0.7142338613891948,1516.0
True,0.0,11.8,0.0,Center,0.3094071769747408,Unknown,True,False,164,127,0,0,0.0,0.0,0.4125429026329877,861.5
True,0.0,11.8,0.0,Center,0.27457445689854787,Unknown,True,False,240,234,0,0,0.0,0.0,0.3660992758647305,774.5
True,0.0,11.8,0.0,Center,0.404705646080435,Unknown,True,False,10,240,0,0,0.0,0.0,0.5396075281072467,292.5
True,0.0,11.8,0.0,Center,0.3772615233802127,Unknown,True,False,48,15,0,0,0.0,0.0,0.5030153645069503,829.0
True,7.324137931034484,11.8,0.6206896551724138,Up-Right,0.6866279119881659,Mydriasis,True,True,110,120,102,124,0.3084231693103158,0.38315366137936835,0.4383650372925646,125.5
True,0.0,11.8,0.0,Center,0.46397086456366715,Unknown,True,False,123,122,0,0,0.0,0.0,0.6186278194182229,674.5
True,0.0,11.8,0.0,Center,0.3562484143892708,Unknown,True,False,39,24,0,0,0.0,0.0,0.4749978858523611,392.5
True,0.0,11.8,0.0,Center,0.30313537734008955,Unknown,True,False,95,9,0,0,0.0,0.0,0.4041805031201194,929.0
True,0.0,11.8,0.0,Center,0.238931896260771,Unknown,True,False,9,91,0,0,0.0,0.0,0.31857586168102797,641.0
True,0.0,11.8,0.0,Center,0.461438790077578,Unknown,True,False,12,225,0,0,0.0,0.0,0.6152517201034373,110.0
True,0.0,11.8,0.0,Center,0.4250973062012142,Unknown,True,False,186,237,0,0,0.0,0.0,0.5667964082682856,741.0
True,0.0,11.8,0.0,Center,0.48545768843828735,Unknown,True,False,19,103,0,0,0.0,0.0,0.6472769179177165,1794.5
True,3.8350000000000004,11.8,0.325,Up-Right,0.6,Normal,True,True,169,126,148,142,0.6600189391222043,0.0,0.5000788686347775,709.5
True,0.0,11.8,0.0,Center,0.2975885016021947,Unknown,True,False,103,125,0,0,0.0,0.0,0.39678466880292623,1523.5
True,0.0,11.8,0.0,Center,0.2737600207834639,Unknown,True,False,134,120,0,0,0.0,0.0,0.3650133610446185,1272.5
True,0.0,11.8,0.0,Center,0.49852421908764194,Unknown,True,False,35,29,0,0,0.0,0.0,0.6646989587835226,854.0
True,0.0,11.8,0.0,Center,0.23058773165278007,Unknown,True,False,35,231,0,0,0.0,0.0,0.30745030887037345,158.5
True,0.0,11.8,0.0,Center,0.4267179078971106,Unknown,True,False,184,235,0,0,0.0,0.0,0.5689572105294808,609.5
True,0.0,11.8,0.0,Center,0.42101460533705337,Unknown,True,False,223,177,0,0,0.0,0.0,0.5613528071160712,1694.5
True,5.113333333333334,11.8,0.4333333333333334,Up,0.6274419655612092,Slightly Dilated,True,True,176,130,180,142,0.42163702135578396,0.15672595728843208,0.46279996969759785,954.0
True,3.441666666666667,11.8,0.2916666666666667,Up-Right,0.8030634955669159,Normal,True,True,172,124,164,128,0.18633899812498247,0.6273220037500351,0.4909342414753565,1423.5
True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,48,15,0,0,0.0,0.0,0.8554386688593019,1372.5
True,0.0,11.8,0.0,Center,0.4292767468811567,Unknown,True,False,219,10,0,0,0.0,0.0,0.5723689958415422,1540.5
True,3.003636363636364,11.8,0.2545454545454546,Up-Left,0.72368394303464,Normal,True,True,154,123,160,128,0.14200453956193917,0.7159909208761217,0.32753045411389925,1211.5
True,0.0,11.8,0.0,Center,0.44798566985210064,Unknown,True,False,6,89,0,0,0.0,0.0,0.5973142264694675,837.0
True,0.0,11.8,0.0,Center,0.28864657869663063,Unknown,True,False,131,122,0,0,0.0,0.0,0.3848621049288408,937.0
True,0.0,11.8,0.0,Center,0.2783405521719271,Unknown,True,False,153,89,0,0,0.0,0.0,0.37112073622923614,1440.5
True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,4,95,0,0,0.0,0.0,0.7386462086683406,1311.5
True,0.0,11.8,0.0,Center,0.2310085484635786,Unknown,True,False,97,126,0,0,0.0,0.0,0.3080113979514381,622.0
True,0.0,11.8,0.0,Center,0.2626100989131802,Unknown,True,False,98,126,0,0,0.0,0.0,0.3501467985509069,173.0
True,0.0,11.8,0.0,Center,0.25791347446842244,Unknown,True,False,8,107,0,0,0.0,0.0,0.34388463262456326,495.0
True,0.0,11.8,0.0,Center,0.23319195131801002,Unknown,True,False,16,231,0,0,0.0,0.0,0.3109226017573467,1359.0
True,0.0,11.8,0.0,Center,0.44484905840900346,Unknown,True,False,40,18,0,0,0.0,0.0,0.5931320778786713,1408.0
True,0.0,11.8,0.0,Center,0.48544223290324306,Unknown,True,False,33,18,0,0,0.0,0.0,0.6472563105376574,722.0
True,0.0,11.8,0.0,Center,0.37784030282502845,Unknown,True,False,121,81,0,0,0.0,0.0,0.5037870704333712,1259.0
True,0.0,11.8,0.0,Center,0.4743826080936877,Unknown,True,False,45,27,0,0,0.0,0.0,0.6325101441249169,1508.0
True,0.0,11.8,0.0,Center,0.3427181647837656,Unknown,True,False,29,23,0,0,0.0,0.0,0.45695755304502084,595.0
True,0.0,11.8,0.0,Center,0.3544118364272536,Unknown,True,False,135,92,0,0,0.0,0.0,0.47254911523633814,90.0
True,0.0,11.8,0.0,Center,0.2849107935749533,Unknown,True,False,231,234,0,0,0.0,0.0,0.3798810580999378,717.5
True,0.0,11.8,0.0,Center,0.25236419294856904,Unknown,True,False,127,236,0,0,0.0,0.0,0.3364855905980921,146.5
True,0.0,11.8,0.0,Center,0.2961900426518372,Unknown,True,False,97,124,0,0,0.0,0.0,0.39492005686911624,617.5
True,0.0,11.8,0.0,Center,0.4761551298712302,Unknown,True,False,10,102,0,0,0.0,0.0,0.6348735064949736,1193.0
True,3.277777777777778,11.8,0.2777777777777778,Right,0.5397024280503765,Normal,True,True,161,127,130,116,0.6091438593851306,0.0,0.4095536420755647,902.5
True,0.0,11.8,0.0,Center,0.25761219489425297,Unknown,True,False,156,75,0,0,0.0,0.0,0.34348292652567064,1324.0
True,0.0,11.8,0.0,Center,0.24468628462942932,Unknown,True,False,1,133,0,0,0.0,0.0,0.32624837950590574,1475.0
True,0.0,11.8,0.0,Center,0.39192175529099504,Unknown,True,False,10,227,0,0,0.0,0.0,0.5225623403879934,1093.0
True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,47,10,0,0,0.0,0.0,0.8481962218999632,1224.0
True,0.0,11.8,0.0,Center,0.22870921173932005,Unknown,True,False,102,125,0,0,0.0,0.0,0.3049456156524267,1575.0
True,0.0,11.8,0.0,Center,0.4751470464945784,Unknown,True,False,45,13,0,0,0.0,0.0,0.6335293953261045,802.5
