timestamp,heart_rate,x_coordinate,y_coordinate,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,genre,participant
2025-06-12 09:56:57,79.90786956290717,343.8666666666667,293.6,0.8045454545454546,11.8,0.06818181818181818,comedy,aimen
2025-06-12 09:56:58,78.63809612237479,346.5806451612903,294.4516129032258,0.8045454545454546,11.8,0.06818181818181818,comedy,aimen
2025-06-12 09:56:59,79.6429571042356,349.41379310344826,293.0689655172414,0.800365997638725,11.8,0.06782762691853601,comedy,aimen
2025-06-12 09:57:00,78.97419878809849,352.5806451612903,291.8709677419355,0.7961865407319952,11.8,0.06747343565525384,comedy,aimen
2025-06-12 09:57:01,80.90459460347745,343.86206896551727,292.6896551724138,0.7920070838252656,11.8,0.06711924439197166,comedy,aimen
2025-06-12 09:57:02,81.39407507124214,343.64516129032256,286.51612903225805,0.787827626918536,11.8,0.0667650531286895,comedy,aimen
2025-06-12 09:57:03,82.59858399084959,346.4482758620689,287.62068965517244,0.7836481700118064,11.8,0.06641086186540732,comedy,aimen
2025-06-12 09:57:04,82.27578734442805,346.83870967741933,290.83870967741933,0.7794687131050767,11.8,0.06605667060212514,comedy,aimen
2025-06-12 09:57:05,83.58272957573578,348.9655172413793,287.7931034482759,0.7752892561983471,11.8,0.06570247933884298,comedy,aimen
2025-06-12 09:57:06,82.9437819469308,350.5806451612903,290.06451612903226,0.7711097992916175,11.8,0.0653482880755608,comedy,aimen
2025-06-12 09:57:07,82.72344039201674,352.13793103448273,292.55172413793105,0.7669303423848879,11.8,0.06499409681227863,comedy,aimen
2025-06-12 09:57:08,82.91307988405707,348.258064516129,293.5483870967742,0.7627508854781582,11.8,0.06463990554899646,comedy,aimen
2025-06-12 09:57:09,82.65101827818881,349.86206896551727,294.55172413793105,0.7585714285714286,11.8,0.06428571428571428,comedy,aimen
2025-06-12 09:57:10,83.14944715270121,351.3,295.3333333333333,0.8147619047619048,11.8,0.06904761904761905,comedy,aimen
2025-06-12 09:57:11,82.04540785729753,350.6,295.9,0.8709523809523809,11.8,0.0738095238095238,comedy,aimen
2025-06-12 09:57:12,81.59394332008215,352.38709677419354,295.83870967741933,0.9271428571428572,11.8,0.07857142857142857,comedy,aimen
2025-06-12 09:57:13,81.54079900189569,354.86206896551727,295.17241379310343,0.9833333333333334,11.8,0.08333333333333333,comedy,aimen
2025-06-12 09:57:14,80.7847201079197,355.6774193548387,295.0967741935484,0.9202991452991454,11.8,0.07799145299145299,comedy,aimen
2025-06-12 09:57:15,80.13947313119402,354.41379310344826,295.7931034482759,0.8572649572649573,11.8,0.07264957264957266,comedy,aimen
2025-06-12 09:57:16,81.53054293783391,355.6774193548387,296.2258064516129,0.7942307692307693,11.8,0.0673076923076923,comedy,aimen
2025-06-12 09:57:17,77.58670546406482,357.86206896551727,296.51724137931035,0.7311965811965813,11.8,0.06196581196581197,comedy,aimen
2025-06-12 09:57:18,77.22072789088138,358.51612903225805,297.4193548387097,0.6681623931623932,11.8,0.056623931623931624,comedy,aimen
2025-06-12 09:57:19,76.111895561491,357.8965517241379,298.0,0.6051282051282052,11.8,0.05128205128205129,comedy,aimen
2025-06-12 09:57:20,76.25221261251629,358.2258064516129,298.0,0.6473038073038073,11.8,0.05485625485625485,comedy,aimen
2025-06-12 09:57:21,76.1681449158823,359.0689655172414,298.1034482758621,0.6894794094794096,11.8,0.05843045843045843,comedy,aimen
2025-06-12 09:57:22,76.7786243259817,359.93548387096774,298.0,0.7316550116550117,11.8,0.062004662004662,comedy,aimen
2025-06-12 09:57:23,74.78920912336889,359.9655172413793,298.0344827586207,0.7738306138306138,11.8,0.06557886557886557,comedy,aimen
2025-06-12 09:57:24,76.86988903062604,361.5483870967742,298.0,0.816006216006216,11.8,0.06915306915306915,comedy,aimen
2025-06-12 09:57:25,75.79863369106957,361.9655172413793,298.0,0.8581818181818182,11.8,0.07272727272727272,comedy,aimen
2025-06-12 09:57:26,73.25651263869756,362.8666666666667,298.1333333333333,1.2446386946386947,11.8,0.10547785547785547,comedy,aimen
2025-06-12 09:57:27,71.56364028514163,362.6333333333333,298.3333333333333,1.2093968531468533,11.8,0.10249125874125875,comedy,aimen
2025-06-12 09:57:28,72.18897874528598,362.3666666666667,298.0,1.1741550116550117,11.8,0.099504662004662,comedy,aimen
2025-06-12 09:57:29,72.25671776333357,361.8333333333333,298.1,1.1389131701631705,11.8,0.09651806526806529,comedy,aimen
2025-06-12 09:57:30,74.07967612345146,361.7741935483871,298.8709677419355,1.1036713286713289,11.8,0.09353146853146854,comedy,aimen
2025-06-12 09:57:31,71.93153007862385,362.7586206896552,298.0689655172414,1.0684294871794873,11.8,0.09054487179487179,comedy,aimen
2025-06-12 09:57:32,69.46957235335701,364.1290322580645,298.0,1.033187645687646,11.8,0.08755827505827508,comedy,aimen
2025-06-12 09:57:33,70.47639538652643,364.2413793103448,298.0344827586207,0.9979458041958044,11.8,0.08457167832167833,comedy,aimen
2025-06-12 09:57:34,71.00172734404327,364.0,298.4516129032258,0.9627039627039627,11.8,0.08158508158508158,comedy,aimen
2025-06-12 09:57:35,71.19751222350324,350.1290322580645,299.0322580645161,0.9274621212121212,11.8,0.07859848484848485,comedy,aimen
2025-06-12 09:57:36,69.51796869778362,336.258064516129,299.61290322580646,0.8922202797202798,11.8,0.07561188811188811,comedy,aimen
2025-06-12 09:57:37,70.58661621900586,346.1034482758621,302.0,0.8569784382284382,11.8,0.07262529137529138,comedy,aimen
