timestamp,heart_rate,x_coordinate,y_coordinate,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,genre,participant,centered_x,centered_y
2025-06-05 16:25:55,62.0,409.2068965517241,194.0,2.6029411764705888,11.8,0.2205882352941176,comedy,kenji,33.476335116991606,-15.891057983854694
2025-06-05 16:25:56,61.5,413.4333333333333,194.8,2.6029411764705888,11.8,0.2205882352941176,comedy,kenji,37.70277189860076,-15.091057983854682
2025-06-05 16:25:59,60.0,397.3333333333333,191.0,2.6029411764705888,11.8,0.2205882352941176,comedy,kenji,21.602771898600793,-18.891057983854694
2025-06-05 16:26:01,60.0,397.1666666666667,190.6,2.6029411764705888,11.8,0.2205882352941176,comedy,kenji,21.436105231934164,-19.2910579838547
2025-06-05 16:26:04,60.0,391.0,189.33333333333337,2.6029411764705888,11.8,0.2205882352941176,comedy,kenji,15.269438565267478,-20.557724650521322
2025-06-05 16:26:05,60.0,391.4,192.26666666666668,2.500466411416638,11.8,0.2119039331709015,comedy,kenji,15.669438565267455,-17.624391317188014
2025-06-05 16:26:07,60.4,401.35483870967744,190.6451612903226,2.2955168813087368,11.8,0.1945353289244692,comedy,kenji,25.624277274944916,-19.245896693532103
2025-06-05 16:26:09,60.8,393.7,189.2333333333333,2.0905673512008356,11.8,0.1771667246780369,comedy,kenji,17.969438565267467,-20.657724650521402
2025-06-05 16:26:10,61.0,390.44827586206895,190.0344827586207,1.9880925861468852,11.8,0.1684824225548207,comedy,kenji,14.717714427336432,-19.856575225233996
2025-06-05 16:26:12,61.0,391.8666666666667,194.63333333333333,1.783143056038984,11.8,0.1511138183083884,comedy,kenji,16.136105231934152,-15.257724650521368
2025-06-05 16:26:14,61.0,359.2758620689655,193.51724137931035,1.5781935259310826,11.8,0.1337452140619561,comedy,kenji,-16.454699365767,-16.373816604544345
2025-06-05 16:26:15,61.0,366.64516129032256,194.51612903225808,1.475718760877132,11.8,0.12506091193874,comedy,kenji,-9.08540014440996,-15.374928951596615
2025-06-05 16:26:17,61.0,388.5517241379311,197.51724137931035,1.2707692307692309,11.8,0.1076923076923077,comedy,kenji,12.821162703198581,-12.373816604544345
2025-06-05 16:26:18,61.0,389.3333333333333,197.96666666666667,1.2970472498323955,11.8,0.1099192584603725,comedy,kenji,13.602771898600793,-11.924391317188025
2025-06-05 16:26:19,61.111111111111114,379.741935483871,195.70967741935485,1.3233252688955608,11.8,0.1121462092284373,comedy,kenji,4.011374049138453,-14.181380564499847
2025-06-05 16:26:22,61.44444444444444,386.3666666666667,195.7333333333333,1.4021593260850556,11.8,0.1188270615326318,comedy,kenji,10.636105231934152,-14.157724650521402
2025-06-05 16:26:24,61.666666666666664,397.9333333333333,198.3,1.4547153642113857,11.8,0.1232809630687614,comedy,kenji,22.20277189860076,-11.591057983854682
2025-06-05 16:26:27,62.0,392.0967741935484,198.70967741935485,1.5335494214008805,11.8,0.1299618153729559,comedy,kenji,16.36621275881589,-11.181380564499847
2025-06-05 16:26:30,62.0,389.56666666666666,198.0,1.6123834785903752,11.8,0.1366426676771504,comedy,kenji,13.836105231934141,-11.891057983854694
2025-06-05 16:26:32,62.0,395.4838709677419,200.2258064516129,1.6649395167167051,11.8,0.1410965692132801,comedy,kenji,19.75330953300937,-9.665251532241797
2025-06-05 16:26:35,61.4,396.4,200.0,1.7437735739062,11.8,0.1477774215174745,comedy,kenji,20.669438565267455,-9.891057983854694
2025-06-05 16:26:37,61.0,397.0,200.0344827586207,1.79632961203253,11.8,0.1522313230536042,comedy,kenji,21.26943856526748,-9.856575225233996
2025-06-05 16:26:40,60.4,398.8666666666667,199.46666666666667,1.8751636692220248,11.8,0.1589121753577987,comedy,kenji,23.136105231934152,-10.424391317188025
2025-06-05 16:26:42,60.0,384.9,192.03333333333333,1.9277197073483547,11.8,0.1633660768939283,comedy,kenji,9.169438565267455,-17.857724650521362
2025-06-05 16:26:43,60.0,390.8,198.56666666666663,1.9539977264115196,11.8,0.1655930276619932,comedy,kenji,15.06943856526749,-11.32439131718806
2025-06-05 16:26:45,61.333333333333336,388.1333333333333,205.9,2.0065537645378497,11.8,0.1700469291981228,comedy,kenji,12.402771898600804,-3.991057983854688
2025-06-05 16:26:48,63.333333333333336,386.8333333333333,206.2,2.0853878217273447,11.8,0.1767277815023173,comedy,kenji,11.102771898600793,-3.691057983854705
2025-06-05 16:26:50,64.66666666666667,388.03333333333336,206.33333333333337,2.1379438598536744,11.8,0.1811816830384469,comedy,kenji,12.302771898600838,-3.5577246505213225
2025-06-05 16:26:52,66.0,395.35483870967744,203.5806451612903,2.190499897980004,11.8,0.1856355845745766,comedy,kenji,19.624277274944916,-6.310412822564388
2025-06-05 16:26:53,66.0,401.26666666666665,204.2,2.2167779170431694,11.8,0.1878625353426414,comedy,kenji,25.53610523193413,-5.691057983854705
2025-06-05 16:26:55,65.11111111111111,396.7241379310345,203.20689655172413,2.269333955169499,11.8,0.1923164368787711,comedy,kenji,20.993576496301955,-6.684161432130566
2025-06-05 16:26:58,63.77777777777778,359.6333333333333,196.2333333333333,2.348168012358994,11.8,0.1989972891829655,comedy,kenji,-16.097228101399196,-13.657724650521402
2025-06-05 16:27:00,62.888888888888886,390.3793103448275,202.1379310344828,2.400724050485324,11.8,0.2034511907190952,comedy,kenji,14.64874891009498,-7.753126949371904
2025-06-05 16:27:02,62.0,379.7,200.0,2.453280088611654,11.8,0.2079050922552248,comedy,kenji,3.969438565267467,-9.891057983854694
2025-06-05 16:27:03,61.8,387.56666666666666,200.93333333333337,2.4795581076748188,11.8,0.2101320430232897,comedy,kenji,11.836105231934141,-8.957724650521328
2025-06-05 16:27:05,61.4,385.7,199.63333333333333,2.532114145801149,11.8,0.2145859445594193,comedy,kenji,9.969438565267467,-10.257724650521368
2025-06-05 16:27:07,61.0,382.7,203.96666666666667,2.5846701839274786,11.8,0.219039846095549,comedy,kenji,6.969438565267467,-5.924391317188025
2025-06-05 16:27:08,61.2,383.1333333333333,204.66666666666663,2.6109482029906435,11.8,0.2212667968636138,comedy,kenji,7.402771898600804,-5.224391317188065
2025-06-05 16:27:11,61.8,384.7931034482759,198.24137931034485,2.6897822601801384,11.8,0.2279476491678083,comedy,kenji,9.06254201354335,-11.64967867350984
2025-06-05 16:27:12,62.0,386.4666666666666,200.66666666666663,2.7160602792433033,11.8,0.2301745999358731,comedy,kenji,10.736105231934062,-9.224391317188065
2025-06-05 16:27:13,62.0,384.9032258064516,201.0,2.7423382983064686,11.8,0.232401550703938,comedy,kenji,9.172664371719065,-8.891057983854694
2025-06-05 16:27:16,62.0,384.4333333333333,201.0,2.821172355495963,11.8,0.2390824030081324,comedy,kenji,8.702771898600759,-8.891057983854694
2025-06-05 16:27:18,61.0,385.1666666666667,200.0,2.873728393622293,11.8,0.2435363045442621,comedy,kenji,9.436105231934164,-9.891057983854694
2025-06-05 16:27:21,61.0,385.0,200.67741935483872,2.9525624508117883,11.8,0.2502171568484566,comedy,kenji,9.269438565267478,-9.213638629015975
2025-06-05 16:27:23,61.0,385.0,201.0,3.005118488938118,11.8,0.2546710583845862,comedy,kenji,9.269438565267478,-8.891057983854694
2025-06-05 16:27:26,60.0,383.6,200.06666666666663,3.0839525461276125,11.8,0.2613519106887807,comedy,kenji,7.869438565267501,-9.82439131718806
2025-06-05 16:27:29,59.0,385.1612903225806,199.32258064516128,3.162786603317108,11.8,0.2680327629929752,comedy,kenji,9.43072888784809,-10.568477338693413
2025-06-05 16:27:31,58.333333333333336,383.3,200.1,3.2153426414434376,11.8,0.2724866645291048,comedy,kenji,7.56943856526749,-9.7910579838547
2025-06-05 16:27:32,58.0,381.2903225806452,199.03225806451613,3.2416206605066025,11.8,0.2747136152971697,comedy,kenji,5.55976114591266,-10.858799919338566
2025-06-05 16:27:34,58.0,380.5,199.0,3.2941766986329326,11.8,0.2791675168332994,comedy,kenji,4.769438565267478,-10.891057983854694
2025-06-05 16:27:36,58.25,381.06451612903226,199.67741935483872,3.3467327367592623,11.8,0.283621418369429,comedy,kenji,5.3339546942997345,-10.213638629015975
2025-06-05 16:27:39,58.625,382.6551724137931,200.0,3.4255667939487573,11.8,0.2903022706736234,comedy,kenji,6.92461097906056,-9.891057983854694
2025-06-05 16:27:41,58.875,381.1666666666667,199.63333333333333,3.478122832075087,11.8,0.2947561722097531,comedy,kenji,5.436105231934164,-10.257724650521368
2025-06-05 16:27:42,59.0,380.64516129032256,199.6451612903226,3.504400851138252,11.8,0.2969831229778179,comedy,kenji,4.9145998555900405,-10.245896693532103
2025-06-05 16:27:44,59.0,381.6666666666667,200.0,3.556956889264582,11.8,0.3014370245139476,comedy,kenji,5.936105231934164,-9.891057983854694
2025-06-05 16:27:46,59.0,381.741935483871,200.6451612903226,3.609512927390912,11.8,0.3058909260500773,comedy,kenji,6.011374049138453,-9.245896693532103
