timestamp,time_elapsed_seconds,x_coordinate,y_coordinate
2025-06-07 10:29:20.285,0.033,1039,365
2025-06-07 10:29:20.353,0.1,1040,365
2025-06-07 10:29:20.422,0.169,1043,363
2025-06-07 10:29:20.488,0.236,1043,368
2025-06-07 10:29:20.557,0.305,1043,368
2025-06-07 10:29:20.618,0.366,1042,368
2025-06-07 10:29:20.689,0.437,1041,369
2025-06-07 10:29:20.757,0.505,1042,369
2025-06-07 10:29:20.823,0.571,1041,369
2025-06-07 10:29:20.890,0.638,1041,369
2025-06-07 10:29:20.954,0.702,1038,369
2025-06-07 10:29:21.022,0.77,1038,369
2025-06-07 10:29:21.085,0.833,1037,369
2025-06-07 10:29:21.158,0.906,1035,369
2025-06-07 10:29:21.219,0.966,1033,371
2025-06-07 10:29:21.289,1.037,1031,372
2025-06-07 10:29:21.357,1.105,1028,374
2025-06-07 10:29:21.424,1.171,1024,374
2025-06-07 10:29:21.490,1.238,1016,373
2025-06-07 10:29:21.558,1.306,1011,372
2025-06-07 10:29:21.623,1.371,1009,373
2025-06-07 10:29:21.689,1.437,1010,372
2025-06-07 10:29:21.750,1.498,1013,373
2025-06-07 10:29:21.819,1.567,1016,373
2025-06-07 10:29:21.889,1.637,1023,374
2025-06-07 10:29:21.954,1.702,1028,377
2025-06-07 10:29:22.022,1.77,1032,378
2025-06-07 10:29:22.086,1.833,1031,377
2025-06-07 10:29:22.157,1.905,1031,377
2025-06-07 10:29:22.220,1.967,1031,377
2025-06-07 10:29:22.290,2.038,1030,376
2025-06-07 10:29:22.353,2.101,1031,376
2025-06-07 10:29:22.422,2.17,1031,376
2025-06-07 10:29:22.487,2.235,1030,376
2025-06-07 10:29:22.558,2.306,1031,376
2025-06-07 10:29:22.624,2.372,1031,375
2025-06-07 10:29:22.691,2.439,1031,375
2025-06-07 10:29:22.758,2.506,1031,375
2025-06-07 10:29:22.822,2.57,1031,375
2025-06-07 10:29:22.885,2.633,1032,375
2025-06-07 10:29:22.959,2.706,1032,375
2025-06-07 10:29:23.023,2.771,1033,375
2025-06-07 10:29:23.086,2.833,1032,375
2025-06-07 10:29:23.159,2.906,1032,375
2025-06-07 10:29:23.222,2.969,1032,374
2025-06-07 10:29:23.286,3.034,1032,374
2025-06-07 10:29:23.357,3.105,1032,375
2025-06-07 10:29:23.423,3.171,1032,373
2025-06-07 10:29:23.480,3.228,1031,373
2025-06-07 10:29:23.512,3.26,1031,374
2025-06-07 10:29:23.547,3.295,1031,373
2025-06-07 10:29:23.581,3.329,1031,374
2025-06-07 10:29:23.611,3.359,1031,374
2025-06-07 10:29:23.649,3.397,1031,374
2025-06-07 10:29:23.680,3.428,1032,374
2025-06-07 10:29:23.717,3.465,1031,373
2025-06-07 10:29:23.744,3.492,1032,373
2025-06-07 10:29:23.783,3.531,1032,372
2025-06-07 10:29:23.810,3.558,1032,373
2025-06-07 10:29:23.848,3.596,1032,373
2025-06-07 10:29:23.877,3.625,1032,373
2025-06-07 10:29:23.916,3.664,1033,373
2025-06-07 10:29:23.943,3.69,1033,373
2025-06-07 10:29:23.979,3.727,1034,373
2025-06-07 10:29:24.016,3.764,1034,374
2025-06-07 10:29:24.078,3.826,1035,373
2025-06-07 10:29:24.114,3.862,1034,373
2025-06-07 10:29:24.144,3.892,1035,374
2025-06-07 10:29:24.182,3.93,1035,374
2025-06-07 10:29:24.211,3.959,1035,374
