timestamp,heart_rate,time_elapsed_seconds
2025-06-12 09:32:15+00:00,71,596.0
2025-06-12 09:32:23+00:00,79,604.0
2025-06-12 09:32:27+00:00,78,608.0
2025-06-12 09:32:30+00:00,78,611.0
2025-06-12 09:32:39+00:00,73,620.0
2025-06-12 09:32:42+00:00,73,623.0
2025-06-12 09:32:45+00:00,71,626.0
2025-06-12 09:32:50+00:00,70,631.0
2025-06-12 09:32:56+00:00,69,637.0
2025-06-12 09:33:01+00:00,70,642.0
2025-06-12 09:33:07+00:00,68,648.0
2025-06-12 09:33:11+00:00,69,652.0
2025-06-12 09:33:16+00:00,69,657.0
2025-06-12 09:33:19+00:00,73,660.0
2025-06-12 09:33:22+00:00,68,663.0
2025-06-12 09:33:27+00:00,73,668.0
2025-06-12 09:33:32+00:00,69,673.0
2025-06-12 09:33:34+00:00,70,675.0
2025-06-12 09:33:38+00:00,69,679.0
2025-06-12 09:33:40+00:00,67,681.0
2025-06-12 09:33:42+00:00,67,683.0
2025-06-12 09:33:49+00:00,63,690.0
2025-06-12 09:33:55+00:00,68,696.0
2025-06-12 09:33:59+00:00,67,700.0
2025-06-12 09:34:04+00:00,67,705.0
2025-06-12 09:34:09+00:00,63,710.0
2025-06-12 09:34:15+00:00,70,716.0
2025-06-12 09:34:22+00:00,63,723.0
2025-06-12 09:34:31+00:00,68,732.0
2025-06-12 09:34:36+00:00,56,737.0
2025-06-12 09:34:41+00:00,68,742.0
2025-06-12 09:34:45+00:00,68,746.0
2025-06-12 09:34:53+00:00,72,754.0
2025-06-12 09:34:58+00:00,65,759.0
2025-06-12 09:35:06+00:00,73,767.0
2025-06-12 09:35:11+00:00,65,772.0
2025-06-12 09:35:20+00:00,60,781.0
2025-06-12 09:35:29+00:00,66,790.0
2025-06-12 09:35:32+00:00,64,793.0
2025-06-12 09:35:34+00:00,59,795.0
2025-06-12 09:35:39+00:00,66,800.0
2025-06-12 09:35:44+00:00,67,805.0
2025-06-12 09:35:49+00:00,61,810.0
2025-06-12 09:35:58+00:00,65,819.0
2025-06-12 09:36:05+00:00,63,826.0
2025-06-12 09:36:10+00:00,71,831.0
2025-06-12 09:36:19+00:00,66,840.0
2025-06-12 09:36:23+00:00,58,844.0
2025-06-12 09:36:26+00:00,67,847.0
2025-06-12 09:36:28+00:00,65,849.0
2025-06-12 09:36:36+00:00,64,857.0
2025-06-12 09:36:41+00:00,63,862.0
2025-06-12 09:36:43+00:00,64,864.0
2025-06-12 09:36:47+00:00,69,868.0
2025-06-12 09:36:50+00:00,67,871.0
2025-06-12 09:36:56+00:00,63,877.0
2025-06-12 09:36:59+00:00,64,880.0
2025-06-12 09:37:04+00:00,64,885.0
2025-06-12 09:37:06+00:00,61,887.0
2025-06-12 09:37:14+00:00,64,895.0
2025-06-12 09:37:18+00:00,65,899.0
2025-06-12 09:37:26+00:00,70,907.0
2025-06-12 09:37:33+00:00,62,914.0
2025-06-12 09:37:40+00:00,64,921.0
