timestamp,latitude,longitude,altitude,heart_rate,power,cadence,speed,temperature,distance
2025-06-12T09:46:46.000Z,,,,82,,,,,
2025-06-12T09:46:51.000Z,,,,82,,,,,
2025-06-12T09:46:52.000Z,,,,83,,,,,
2025-06-12T09:47:01.000Z,,,,83,,,,,
2025-06-12T09:47:03.000Z,,,,81,,,,,
2025-06-12T09:47:11.000Z,,,,75,,,,,
2025-06-12T09:47:16.000Z,,,,73,,,,,
2025-06-12T09:47:21.000Z,,,,75,,,,,
2025-06-12T09:47:25.000Z,,,,72,,,,,
2025-06-12T09:47:31.000Z,,,,68,,,,,
2025-06-12T09:47:35.000Z,,,,66,,,,,
2025-06-12T09:47:38.000Z,,,,66,,,,,
2025-06-12T09:47:46.000Z,,,,68,,,,,
2025-06-12T09:47:49.000Z,,,,67,,,,,
2025-06-12T09:47:56.000Z,,,,68,,,,,
2025-06-12T09:47:58.000Z,,,,68,,,,,
2025-06-12T09:48:02.000Z,,,,70,,,,,
2025-06-12T09:48:10.000Z,,,,66,,,,,
2025-06-12T09:48:12.000Z,,,,66,,,,,
2025-06-12T09:48:18.000Z,,,,65,,,,,
2025-06-12T09:48:26.000Z,,,,73,,,,,
2025-06-12T09:48:30.000Z,,,,73,,,,,
2025-06-12T09:48:36.000Z,,,,71,,,,,
2025-06-12T09:48:37.000Z,,,,71,,,,,
2025-06-12T09:48:43.000Z,,,,74,,,,,
2025-06-12T09:48:47.000Z,,,,73,,,,,
2025-06-12T09:48:52.000Z,,,,72,,,,,
2025-06-12T09:49:00.000Z,,,,68,,,,,
2025-06-12T09:49:02.000Z,,,,68,,,,,
2025-06-12T09:49:09.000Z,,,,66,,,,,
2025-06-12T09:49:13.000Z,,,,66,,,,,
2025-06-12T09:49:19.000Z,,,,66,,,,,
2025-06-12T09:49:26.000Z,,,,75,,,,,
2025-06-12T09:49:31.000Z,,,,74,,,,,
2025-06-12T09:49:36.000Z,,,,75,,,,,
2025-06-12T09:49:40.000Z,,,,72,,,,,
2025-06-12T09:49:45.000Z,,,,71,,,,,
2025-06-12T09:49:49.000Z,,,,71,,,,,
2025-06-12T09:49:53.000Z,,,,70,,,,,
2025-06-12T09:49:58.000Z,,,,69,,,,,
2025-06-12T09:50:05.000Z,,,,69,,,,,
2025-06-12T09:50:07.000Z,,,,69,,,,,
2025-06-12T09:50:12.000Z,,,,72,,,,,
2025-06-12T09:50:20.000Z,,,,75,,,,,
2025-06-12T09:50:25.000Z,,,,71,,,,,
2025-06-12T09:50:28.000Z,,,,69,,,,,
2025-06-12T09:50:33.000Z,,,,68,,,,,
2025-06-12T09:50:41.000Z,,,,67,,,,,
2025-06-12T09:50:43.000Z,,,,66,,,,,
2025-06-12T09:50:48.000Z,,,,66,,,,,
2025-06-12T09:50:52.000Z,,,,66,,,,,
2025-06-12T09:50:57.000Z,,,,66,,,,,
2025-06-12T09:51:04.000Z,,,,66,,,,,
2025-06-12T09:51:11.000Z,,,,67,,,,,
2025-06-12T09:51:14.000Z,,,,67,,,,,
2025-06-12T09:51:17.000Z,,,,69,,,,,
2025-06-12T09:51:24.000Z,,,,76,,,,,
2025-06-12T09:51:31.000Z,,,,71,,,,,
2025-06-12T09:51:36.000Z,,,,74,,,,,
2025-06-12T09:51:37.000Z,,,,74,,,,,
2025-06-12T09:51:42.000Z,,,,70,,,,,
2025-06-12T09:51:47.000Z,,,,74,,,,,
2025-06-12T09:51:56.000Z,,,,69,,,,,
2025-06-12T09:52:00.000Z,,,,69,,,,,
2025-06-12T09:52:02.000Z,,,,68,,,,,
2025-06-12T09:52:09.000Z,,,,68,,,,,
2025-06-12T09:52:16.000Z,,,,67,,,,,
2025-06-12T09:52:21.000Z,,,,66,,,,,
2025-06-12T09:52:24.000Z,,,,67,,,,,
2025-06-12T09:52:30.000Z,,,,67,,,,,
2025-06-12T09:52:35.000Z,,,,67,,,,,
2025-06-12T09:52:39.000Z,,,,67,,,,,
2025-06-12T09:52:44.000Z,,,,66,,,,,
2025-06-12T09:52:49.000Z,,,,66,,,,,
2025-06-12T09:52:52.000Z,,,,67,,,,,
2025-06-12T09:52:59.000Z,,,,76,,,,,
2025-06-12T09:53:06.000Z,,,,71,,,,,
2025-06-12T09:53:11.000Z,,,,70,,,,,
2025-06-12T09:53:12.000Z,,,,70,,,,,
2025-06-12T09:53:19.000Z,,,,68,,,,,
2025-06-12T09:53:23.000Z,,,,67,,,,,
2025-06-12T09:53:31.000Z,,,,67,,,,,
2025-06-12T09:53:34.000Z,,,,68,,,,,
2025-06-12T09:53:43.000Z,,,,67,,,,,
2025-06-12T09:53:46.000Z,,,,66,,,,,
2025-06-12T09:53:50.000Z,,,,67,,,,,
2025-06-12T09:53:52.000Z,,,,62,,,,,
2025-06-12T09:53:55.000Z,,,,72,,,,,
2025-06-12T09:54:03.000Z,,,,73,,,,,
2025-06-12T09:54:08.000Z,,,,72,,,,,
2025-06-12T09:54:13.000Z,,,,70,,,,,
2025-06-12T09:54:18.000Z,,,,69,,,,,
2025-06-12T09:54:19.000Z,,,,70,,,,,
2025-06-12T09:54:28.000Z,,,,67,,,,,
2025-06-12T09:54:33.000Z,,,,70,,,,,
2025-06-12T09:54:36.000Z,,,,71,,,,,
2025-06-12T09:54:40.000Z,,,,75,,,,,
2025-06-12T09:54:49.000Z,,,,72,,,,,
2025-06-12T09:54:54.000Z,,,,73,,,,,
2025-06-12T09:54:55.000Z,,,,73,,,,,
2025-06-12T09:55:04.000Z,,,,70,,,,,
2025-06-12T09:55:09.000Z,,,,69,,,,,
2025-06-12T09:55:10.000Z,,,,68,,,,,
2025-06-12T09:55:18.000Z,,,,71,,,,,
2025-06-12T09:55:23.000Z,,,,71,,,,,
2025-06-12T09:55:27.000Z,,,,69,,,,,
2025-06-12T09:55:32.000Z,,,,71,,,,,
2025-06-12T09:55:38.000Z,,,,69,,,,,
2025-06-12T09:55:41.000Z,,,,70,,,,,
2025-06-12T09:55:45.000Z,,,,70,,,,,
2025-06-12T09:55:51.000Z,,,,73,,,,,
2025-06-12T09:55:58.000Z,,,,72,,,,,
2025-06-12T09:56:04.000Z,,,,69,,,,,
2025-06-12T09:56:09.000Z,,,,68,,,,,
2025-06-12T09:56:13.000Z,,,,68,,,,,
2025-06-12T09:56:17.000Z,,,,67,,,,,
2025-06-12T09:56:44.000Z,,,,76,,,,,
2025-06-12T09:56:49.000Z,,,,72,,,,,
2025-06-12T09:56:54.000Z,,,,75,,,,,
2025-06-12T09:56:58.000Z,,,,77,,,,,
2025-06-12T09:57:00.000Z,,,,78,,,,,
2025-06-12T09:57:05.000Z,,,,81,,,,,
2025-06-12T09:57:14.000Z,,,,79,,,,,
2025-06-12T09:57:19.000Z,,,,74,,,,,
2025-06-12T09:57:23.000Z,,,,74,,,,,
2025-06-12T09:57:29.000Z,,,,70,,,,,
2025-06-12T09:57:30.000Z,,,,69,,,,,
2025-06-12T09:57:39.000Z,,,,68,,,,,
2025-06-12T09:57:40.000Z,,,,68,,,,,
2025-06-12T09:57:49.000Z,,,,76,,,,,
2025-06-12T09:57:54.000Z,,,,78,,,,,
2025-06-12T09:57:59.000Z,,,,74,,,,,
2025-06-12T09:58:03.000Z,,,,71,,,,,
2025-06-12T09:58:07.000Z,,,,69,,,,,
2025-06-12T09:58:14.000Z,,,,67,,,,,
2025-06-12T09:58:16.000Z,,,,67,,,,,
2025-06-12T09:58:20.000Z,,,,68,,,,,
2025-06-12T09:58:25.000Z,,,,71,,,,,
2025-06-12T09:58:30.000Z,,,,73,,,,,
2025-06-12T09:58:35.000Z,,,,75,,,,,
2025-06-12T09:58:44.000Z,,,,73,,,,,
2025-06-12T09:58:46.000Z,,,,72,,,,,
2025-06-12T09:58:54.000Z,,,,70,,,,,
2025-06-12T09:58:59.000Z,,,,69,,,,,
2025-06-12T09:59:03.000Z,,,,67,,,,,
2025-06-12T09:59:09.000Z,,,,69,,,,,
2025-06-12T09:59:12.000Z,,,,69,,,,,
2025-06-12T09:59:19.000Z,,,,71,,,,,
2025-06-12T09:59:20.000Z,,,,71,,,,,
2025-06-12T09:59:25.000Z,,,,72,,,,,
2025-06-12T09:59:30.000Z,,,,76,,,,,
2025-06-12T09:59:39.000Z,,,,74,,,,,
2025-06-12T09:59:44.000Z,,,,72,,,,,
2025-06-12T09:59:49.000Z,,,,71,,,,,
2025-06-12T09:59:53.000Z,,,,70,,,,,
2025-06-12T09:59:57.000Z,,,,69,,,,,
2025-06-12T10:00:04.000Z,,,,67,,,,,
2025-06-12T10:00:07.000Z,,,,67,,,,,
2025-06-12T10:00:11.000Z,,,,68,,,,,
2025-06-12T10:00:17.000Z,,,,68,,,,,
2025-06-12T10:00:23.000Z,,,,69,,,,,
2025-06-12T10:00:25.000Z,,,,69,,,,,
2025-06-12T10:00:34.000Z,,,,73,,,,,
2025-06-12T10:00:36.000Z,,,,72,,,,,
2025-06-12T10:00:40.000Z,,,,68,,,,,
2025-06-12T10:00:45.000Z,,,,70,,,,,
2025-06-12T10:00:54.000Z,,,,72,,,,,
2025-06-12T10:00:58.000Z,,,,75,,,,,
2025-06-12T10:01:00.000Z,,,,75,,,,,
2025-06-12T10:01:09.000Z,,,,75,,,,,
2025-06-12T10:01:14.000Z,,,,74,,,,,
2025-06-12T10:01:16.000Z,,,,74,,,,,
2025-06-12T10:01:24.000Z,,,,70,,,,,
2025-06-12T10:01:29.000Z,,,,69,,,,,
2025-06-12T10:01:33.000Z,,,,68,,,,,
2025-06-12T10:01:39.000Z,,,,68,,,,,
2025-06-12T10:01:43.000Z,,,,68,,,,,
