timestamp,latitude,longitude,altitude,heart_rate,power,cadence,speed,temperature,distance
2025-06-12T10:21:49.000Z,,,,83,,,,,
2025-06-12T10:21:54.000Z,,,,76,,,,,
2025-06-12T10:21:59.000Z,,,,69,,,,,
2025-06-12T10:22:04.000Z,,,,68,,,,,
2025-06-12T10:22:05.000Z,,,,68,,,,,
2025-06-12T10:22:12.000Z,,,,66,,,,,
2025-06-12T10:22:18.000Z,,,,65,,,,,
2025-06-12T10:22:20.000Z,,,,65,,,,,
2025-06-12T10:22:25.000Z,,,,71,,,,,
2025-06-12T10:22:31.000Z,,,,75,,,,,
2025-06-12T10:22:38.000Z,,,,90,,,,,
2025-06-12T10:22:44.000Z,,,,89,,,,,
2025-06-12T10:22:49.000Z,,,,82,,,,,
2025-06-12T10:22:50.000Z,,,,81,,,,,
2025-06-12T10:22:55.000Z,,,,83,,,,,
2025-06-12T10:23:04.000Z,,,,74,,,,,
2025-06-12T10:23:07.000Z,,,,72,,,,,
2025-06-12T10:23:10.000Z,,,,74,,,,,
2025-06-12T10:23:19.000Z,,,,69,,,,,
2025-06-12T10:23:21.000Z,,,,70,,,,,
2025-06-12T10:23:26.000Z,,,,75,,,,,
2025-06-12T10:23:31.000Z,,,,72,,,,,
2025-06-12T10:23:39.000Z,,,,66,,,,,
2025-06-12T10:23:44.000Z,,,,64,,,,,
2025-06-12T10:23:49.000Z,,,,66,,,,,
2025-06-12T10:23:52.000Z,,,,67,,,,,
2025-06-12T10:24:00.000Z,,,,69,,,,,
2025-06-12T10:24:01.000Z,,,,69,,,,,
2025-06-12T10:24:07.000Z,,,,71,,,,,
2025-06-12T10:24:12.000Z,,,,71,,,,,
2025-06-12T10:24:17.000Z,,,,72,,,,,
2025-06-12T10:24:21.000Z,,,,71,,,,,
2025-06-12T10:24:29.000Z,,,,72,,,,,
2025-06-12T10:24:35.000Z,,,,71,,,,,
2025-06-12T10:24:38.000Z,,,,71,,,,,
2025-06-12T10:24:43.000Z,,,,73,,,,,
2025-06-12T10:24:52.000Z,,,,76,,,,,
2025-06-12T10:24:57.000Z,,,,74,,,,,
2025-06-12T10:25:02.000Z,,,,74,,,,,
2025-06-12T10:25:03.000Z,,,,74,,,,,
2025-06-12T10:25:09.000Z,,,,78,,,,,
2025-06-12T10:25:17.000Z,,,,69,,,,,
2025-06-12T10:25:22.000Z,,,,70,,,,,
2025-06-12T10:25:23.000Z,,,,70,,,,,
2025-06-12T10:25:32.000Z,,,,69,,,,,
2025-06-12T10:25:34.000Z,,,,70,,,,,
2025-06-12T10:25:42.000Z,,,,71,,,,,
2025-06-12T10:25:44.000Z,,,,70,,,,,
2025-06-12T10:25:49.000Z,,,,71,,,,,
2025-06-12T10:25:56.000Z,,,,73,,,,,
2025-06-12T10:26:00.000Z,,,,72,,,,,
2025-06-12T10:26:04.000Z,,,,71,,,,,
2025-06-12T10:26:09.000Z,,,,72,,,,,
2025-06-12T10:26:13.000Z,,,,72,,,,,
2025-06-12T10:26:22.000Z,,,,75,,,,,
2025-06-12T10:26:25.000Z,,,,73,,,,,
2025-06-12T10:26:32.000Z,,,,73,,,,,
2025-06-12T10:26:36.000Z,,,,73,,,,,
2025-06-12T10:26:40.000Z,,,,73,,,,,
2025-06-12T10:26:45.000Z,,,,73,,,,,
2025-06-12T10:26:48.000Z,,,,74,,,,,
2025-06-12T10:26:54.000Z,,,,75,,,,,
2025-06-12T10:27:02.000Z,,,,73,,,,,
2025-06-12T10:27:04.000Z,,,,72,,,,,
2025-06-12T10:27:11.000Z,,,,77,,,,,
2025-06-12T10:27:17.000Z,,,,69,,,,,
2025-06-12T10:27:21.000Z,,,,68,,,,,
2025-06-12T10:27:26.000Z,,,,68,,,,,
2025-06-12T10:27:32.000Z,,,,67,,,,,
2025-06-12T10:27:37.000Z,,,,69,,,,,
2025-06-12T10:27:41.000Z,,,,69,,,,,
2025-06-12T10:27:47.000Z,,,,69,,,,,
2025-06-12T10:27:48.000Z,,,,68,,,,,
2025-06-12T10:27:56.000Z,,,,70,,,,,
2025-06-12T10:28:02.000Z,,,,70,,,,,
2025-06-12T10:28:03.000Z,,,,70,,,,,
2025-06-12T10:28:11.000Z,,,,71,,,,,
2025-06-12T10:28:17.000Z,,,,69,,,,,
2025-06-12T10:28:22.000Z,,,,71,,,,,
2025-06-12T10:28:23.000Z,,,,71,,,,,
2025-06-12T10:28:28.000Z,,,,71,,,,,
2025-06-12T10:28:33.000Z,,,,72,,,,,
2025-06-12T10:28:52.000Z,,,,74,,,,,
2025-06-12T10:28:57.000Z,,,,71,,,,,
2025-06-12T10:29:02.000Z,,,,72,,,,,
2025-06-12T10:29:06.000Z,,,,71,,,,,
2025-06-12T10:29:08.000Z,,,,71,,,,,
2025-06-12T10:29:13.000Z,,,,78,,,,,
2025-06-12T10:29:22.000Z,,,,76,,,,,
2025-06-12T10:29:27.000Z,,,,73,,,,,
2025-06-12T10:29:32.000Z,,,,68,,,,,
2025-06-12T10:29:34.000Z,,,,68,,,,,
2025-06-12T10:29:41.000Z,,,,69,,,,,
2025-06-12T10:29:43.000Z,,,,68,,,,,
2025-06-12T10:29:50.000Z,,,,71,,,,,
2025-06-12T10:29:56.000Z,,,,69,,,,,
2025-06-12T10:29:58.000Z,,,,68,,,,,
2025-06-12T10:30:03.000Z,,,,71,,,,,
2025-06-12T10:30:12.000Z,,,,78,,,,,
2025-06-12T10:30:17.000Z,,,,75,,,,,
2025-06-12T10:30:22.000Z,,,,73,,,,,
2025-06-12T10:30:27.000Z,,,,72,,,,,
2025-06-12T10:30:32.000Z,,,,70,,,,,
2025-06-12T10:30:37.000Z,,,,69,,,,,
2025-06-12T10:30:40.000Z,,,,69,,,,,
2025-06-12T10:30:47.000Z,,,,67,,,,,
2025-06-12T10:30:49.000Z,,,,67,,,,,
2025-06-12T10:30:57.000Z,,,,68,,,,,
2025-06-12T10:31:01.000Z,,,,69,,,,,
2025-06-12T10:31:03.000Z,,,,69,,,,,
2025-06-12T10:31:08.000Z,,,,68,,,,,
2025-06-12T10:31:17.000Z,,,,71,,,,,
2025-06-12T10:31:22.000Z,,,,70,,,,,
2025-06-12T10:31:27.000Z,,,,71,,,,,
2025-06-12T10:31:32.000Z,,,,69,,,,,
2025-06-12T10:31:35.000Z,,,,68,,,,,
2025-06-12T10:31:41.000Z,,,,67,,,,,
2025-06-12T10:31:47.000Z,,,,66,,,,,
2025-06-12T10:31:51.000Z,,,,66,,,,,
2025-06-12T10:31:53.000Z,,,,66,,,,,
2025-06-12T10:32:01.000Z,,,,71,,,,,
2025-06-12T10:32:04.000Z,,,,71,,,,,
2025-06-12T10:32:11.000Z,,,,70,,,,,
2025-06-12T10:32:14.000Z,,,,70,,,,,
2025-06-12T10:32:18.000Z,,,,69,,,,,
2025-06-12T10:32:25.000Z,,,,68,,,,,
2025-06-12T10:32:29.000Z,,,,68,,,,,
2025-06-12T10:32:36.000Z,,,,70,,,,,
2025-06-12T10:32:38.000Z,,,,70,,,,,
2025-06-12T10:32:44.000Z,,,,70,,,,,
2025-06-12T10:32:51.000Z,,,,70,,,,,
2025-06-12T10:32:55.000Z,,,,69,,,,,
2025-06-12T10:32:58.000Z,,,,69,,,,,
2025-06-12T10:33:07.000Z,,,,70,,,,,
2025-06-12T10:33:09.000Z,,,,70,,,,,
2025-06-12T10:33:13.000Z,,,,70,,,,,
