timestamp,x_coordinate,y_coordinate
2025-06-12 10:12:04,334.5,160.5
2025-06-12 10:12:05,339.7741935483871,164.0
2025-06-12 10:12:06,341.6666666666667,165.26666666666668
2025-06-12 10:12:07,342.6,164.33333333333334
2025-06-12 10:12:08,341.6551724137931,162.17241379310346
2025-06-12 10:12:09,341.741935483871,163.3548387096774
2025-06-12 10:12:10,333.8928571428572,157.35714285714286
2025-06-12 10:12:11,334.4516129032258,152.29032258064515
2025-06-12 10:12:12,335.2758620689655,153.48275862068965
2025-06-12 10:12:13,334.0,156.70967741935485
2025-06-12 10:12:14,334.6551724137931,157.13793103448276
2025-06-12 10:12:15,334.35483870967744,157.0
2025-06-12 10:12:16,333.56666666666666,157.23333333333332
2025-06-12 10:12:17,332.7931034482759,157.44827586206895
2025-06-12 10:12:18,333.8333333333333,157.26666666666668
2025-06-12 10:12:19,333.6774193548387,158.0
2025-06-12 10:12:20,331.7241379310345,157.9655172413793
2025-06-12 10:12:21,331.06666666666666,157.16666666666666
2025-06-12 10:12:22,332.2333333333333,157.43333333333334
2025-06-12 10:12:23,345.2,157.7
2025-06-12 10:12:24,336.7333333333333,158.5
2025-06-12 10:12:25,325.8709677419355,159.6451612903226
2025-06-12 10:12:26,321.07142857142856,159.39285714285714
2025-06-12 10:12:27,323.5625,159.1875
2025-06-12 10:12:28,325.3448275862069,160.06896551724137
2025-06-12 10:12:29,326.0967741935484,160.4516129032258
2025-06-12 10:12:30,326.9310344827586,160.6551724137931
2025-06-12 10:12:31,327.0,161.0
2025-06-12 10:12:32,327.0,161.10344827586206
2025-06-12 10:12:33,326.4193548387097,161.06451612903226
2025-06-12 10:12:34,326.9655172413793,161.0
2025-06-12 10:12:35,327.0967741935484,161.0
2025-06-12 10:12:36,326.8965517241379,161.9655172413793
2025-06-12 10:12:37,326.06666666666666,162.0
2025-06-12 10:12:38,326.1333333333333,162.26666666666668
2025-06-12 10:12:39,326.6666666666667,162.06666666666666
2025-06-12 10:12:40,326.3666666666667,161.96666666666667
2025-06-12 10:12:41,326.0,162.0
2025-06-12 10:12:42,325.7931034482759,162.44827586206895
2025-06-12 10:12:43,326.06451612903226,162.0
2025-06-12 10:12:44,325.6551724137931,162.44827586206895
2025-06-12 10:12:45,325.1,162.53333333333333
2025-06-12 10:12:46,324.76666666666665,162.2
2025-06-12 10:12:47,324.8709677419355,162.80645161290323
2025-06-12 10:12:48,325.13793103448273,162.89655172413794
2025-06-12 10:12:49,324.9,163.2
2025-06-12 10:12:50,324.96666666666664,163.16666666666666
2025-06-12 10:12:51,324.7096774193548,163.0
2025-06-12 10:12:52,324.9655172413793,163.0
2025-06-12 10:12:53,324.9032258064516,163.32258064516128
2025-06-12 10:12:54,324.9655172413793,163.58620689655172
2025-06-12 10:12:55,325.06451612903226,164.19354838709677
2025-06-12 10:12:56,325.0,164.9655172413793
2025-06-12 10:12:57,324.93333333333334,165.0
2025-06-12 10:12:58,324.26666666666665,165.0
2025-06-12 10:12:59,323.7333333333333,164.86666666666667
2025-06-12 10:13:00,323.8333333333333,164.6
2025-06-12 10:13:01,323.5,164.13333333333333
2025-06-12 10:13:02,322.6333333333333,164.0
2025-06-12 10:13:03,322.8666666666667,163.36666666666667
2025-06-12 10:13:04,323.0,163.06666666666666
2025-06-12 10:13:05,322.8709677419355,163.0
2025-06-12 10:13:06,323.0344827586207,163.0
2025-06-12 10:13:07,323.0,163.0
2025-06-12 10:13:08,323.3666666666667,164.33333333333334
2025-06-12 10:13:09,323.38709677419354,164.7741935483871
2025-06-12 10:13:10,323.2413793103448,165.0
2025-06-12 10:13:11,323.4193548387097,165.48387096774192
2025-06-12 10:13:12,323.7586206896552,165.3448275862069
2025-06-12 10:13:13,323.76666666666665,165.0
2025-06-12 10:13:14,323.26666666666665,163.66666666666666
2025-06-12 10:13:15,323.6333333333333,163.0
2025-06-12 10:13:16,323.43333333333334,163.13333333333333
2025-06-12 10:13:17,323.1666666666667,162.8
2025-06-12 10:13:18,322.6333333333333,161.83333333333334
2025-06-12 10:13:19,322.48387096774195,162.93548387096774
2025-06-12 10:13:20,322.9655172413793,163.3793103448276
2025-06-12 10:13:21,323.0967741935484,165.03225806451613
2025-06-12 10:13:22,322.8965517241379,165.06896551724137
2025-06-12 10:13:23,322.93548387096774,165.0
2025-06-12 10:13:24,322.62068965517244,165.0
2025-06-12 10:13:25,322.56666666666666,165.0
2025-06-12 10:13:26,322.96666666666664,165.0
2025-06-12 10:13:27,323.0967741935484,165.0
2025-06-12 10:13:28,323.3793103448276,165.0
2025-06-12 10:13:29,322.53333333333336,164.96666666666667
2025-06-12 10:13:30,321.7,163.1
2025-06-12 10:13:31,321.06451612903226,161.0
2025-06-12 10:13:32,321.58620689655174,161.13793103448276
2025-06-12 10:13:33,321.8709677419355,162.93548387096774
2025-06-12 10:13:34,321.8965517241379,164.24137931034485
2025-06-12 10:13:35,321.741935483871,164.48387096774192
2025-06-12 10:13:36,321.7241379310345,165.0
2025-06-12 10:13:37,322.0,165.0
2025-06-12 10:13:38,322.0357142857143,162.42857142857142
2025-06-12 10:13:39,321.8125,162.34375
2025-06-12 10:13:40,321.17241379310343,162.44827586206895
2025-06-12 10:13:41,321.48387096774195,162.6451612903226
2025-06-12 10:13:42,321.6551724137931,162.93103448275863
2025-06-12 10:13:43,320.3,163.73333333333332
2025-06-12 10:13:44,314.1666666666667,159.76666666666668
2025-06-12 10:13:45,320.1,165.1
2025-06-12 10:13:46,320.53333333333336,162.26666666666668
2025-06-12 10:13:47,322.64516129032256,163.74193548387098
2025-06-12 10:13:48,322.48275862068965,164.10344827586206
2025-06-12 10:13:49,324.5,163.86666666666667
2025-06-12 10:13:50,332.56666666666666,160.4
2025-06-12 10:13:51,327.61290322580646,153.4516129032258
2025-06-12 10:13:52,328.46666666666664,151.03333333333333
2025-06-12 10:13:53,327.6666666666667,150.43333333333334
2025-06-12 10:13:54,324.82758620689657,152.9655172413793
2025-06-12 10:13:55,320.53333333333336,161.43333333333334
2025-06-12 10:13:56,318.7096774193548,163.5483870967742
2025-06-12 10:13:57,319.4482758620689,164.89655172413794
2025-06-12 10:13:58,317.46666666666664,164.03333333333333
2025-06-12 10:13:59,318.0,164.33333333333334
2025-06-12 10:14:00,317.4,158.36666666666667
2025-06-12 10:14:01,318.46666666666664,157.16666666666666
