timestamp,heart_rate
2025-06-12 10:11:55,78
2025-06-12 10:12:02,72
2025-06-12 10:12:09,64
2025-06-12 10:12:10,64
2025-06-12 10:12:19,67
2025-06-12 10:12:24,67
2025-06-12 10:12:27,69
2025-06-12 10:12:34,68
2025-06-12 10:12:39,68
2025-06-12 10:12:44,67
2025-06-12 10:12:48,66
2025-06-12 10:12:51,66
2025-06-12 10:12:59,65
2025-06-12 10:13:01,65
2025-06-12 10:13:05,69
2025-06-12 10:13:14,68
2025-06-12 10:13:18,69
2025-06-12 10:13:23,71
2025-06-12 10:13:26,71
2025-06-12 10:13:34,73
2025-06-12 10:13:35,73
2025-06-12 10:13:41,73
2025-06-12 10:13:46,74
2025-06-12 10:13:50,76
2025-06-12 10:13:57,75
2025-06-12 10:14:04,68
2025-06-12 10:14:09,64
2025-06-12 10:14:14,64
2025-06-12 10:14:18,64
2025-06-12 10:14:23,62
2025-06-12 10:14:29,66
2025-06-12 10:14:30,67
2025-06-12 10:14:38,77
2025-06-12 10:14:44,71
2025-06-12 10:14:46,72
2025-06-12 10:14:54,69
2025-06-12 10:14:55,70
2025-06-12 10:15:04,67
2025-06-12 10:15:07,68
2025-06-12 10:15:11,68
2025-06-12 10:15:18,72
2025-06-12 10:15:24,71
2025-06-12 10:15:26,71
2025-06-12 10:15:30,71
2025-06-12 10:15:36,70
2025-06-12 10:15:43,76
2025-06-12 10:15:48,76
2025-06-12 10:15:50,77
2025-06-12 10:15:59,75
2025-06-12 10:16:01,75
2025-06-12 10:16:09,71
2025-06-12 10:16:12,71
2025-06-12 10:16:19,70
2025-06-12 10:16:21,71
2025-06-12 10:16:28,69
2025-06-12 10:16:30,70
2025-06-12 10:16:38,71
2025-06-12 10:16:42,70
2025-06-12 10:16:45,70
2025-06-12 10:16:54,72
2025-06-12 10:16:57,73
2025-06-12 10:17:01,73
2025-06-12 10:17:06,73
2025-06-12 10:17:14,70
2025-06-12 10:17:17,70
2025-06-12 10:17:24,70
2025-06-12 10:17:29,71
2025-06-12 10:17:30,71
2025-06-12 10:17:38,71
2025-06-12 10:17:41,71
2025-06-12 10:17:49,72
2025-06-12 10:17:50,72
2025-06-12 10:17:59,73
2025-06-12 10:18:01,72
2025-06-12 10:18:07,79
2025-06-12 10:18:14,77
2025-06-12 10:18:19,74
2025-06-12 10:18:24,73
2025-06-12 10:18:25,73
2025-06-12 10:18:30,77
2025-06-12 10:18:35,79
2025-06-12 10:18:40,81
2025-06-12 10:18:45,82
2025-06-12 10:18:54,68
2025-06-12 10:18:59,68
2025-06-12 10:19:04,66
2025-06-12 10:19:07,67
2025-06-12 10:19:13,67
2025-06-12 10:19:18,69
2025-06-12 10:19:21,69
2025-06-12 10:19:25,70
2025-06-12 10:19:34,70
2025-06-12 10:19:39,69
2025-06-12 10:19:42,70
2025-06-12 10:19:49,72
2025-06-12 10:19:54,71
2025-06-12 10:19:55,71
2025-06-12 10:20:00,71
2025-06-12 10:20:09,73
2025-06-12 10:20:12,76
2025-06-12 10:20:19,69
2025-06-12 10:20:23,69
2025-06-12 10:20:28,66
2025-06-12 10:20:33,65
2025-06-12 10:20:39,67
2025-06-12 10:20:44,67
2025-06-12 10:20:46,67
2025-06-12 10:20:50,68
2025-06-12 10:20:55,69
2025-06-12 10:21:04,73
2025-06-12 10:21:06,73
2025-06-12 10:21:13,76
2025-06-12 10:21:15,77
2025-06-12 10:21:24,84
2025-06-12 10:21:30,84
2025-06-12 10:21:39,81
2025-06-12 10:21:41,79
2025-06-12 10:21:49,83
2025-06-12 10:21:54,76
2025-06-12 10:21:59,69
2025-06-12 10:22:04,68
2025-06-12 10:22:05,68
2025-06-12 10:22:12,66
2025-06-12 10:22:18,65
2025-06-12 10:22:20,65
2025-06-12 10:22:25,71
2025-06-12 10:22:31,75
2025-06-12 10:22:38,90
2025-06-12 10:22:44,89
2025-06-12 10:22:49,82
2025-06-12 10:22:50,81
2025-06-12 10:22:55,83
2025-06-12 10:23:04,74
2025-06-12 10:23:07,72
2025-06-12 10:23:10,74
2025-06-12 10:23:19,69
2025-06-12 10:23:21,70
2025-06-12 10:23:26,75
2025-06-12 10:23:31,72
2025-06-12 10:23:39,66
2025-06-12 10:23:44,64
2025-06-12 10:23:49,66
2025-06-12 10:23:52,67
2025-06-12 10:24:00,69
2025-06-12 10:24:01,69
2025-06-12 10:24:07,71
2025-06-12 10:24:12,71
2025-06-12 10:24:17,72
2025-06-12 10:24:21,71
2025-06-12 10:24:29,72
2025-06-12 10:24:35,71
2025-06-12 10:24:38,71
2025-06-12 10:24:43,73
2025-06-12 10:24:52,76
2025-06-12 10:24:57,74
2025-06-12 10:25:02,74
2025-06-12 10:25:03,74
2025-06-12 10:25:09,78
2025-06-12 10:25:17,69
2025-06-12 10:25:22,70
2025-06-12 10:25:23,70
2025-06-12 10:25:32,69
2025-06-12 10:25:34,70
2025-06-12 10:25:42,71
2025-06-12 10:25:44,70
2025-06-12 10:25:49,71
2025-06-12 10:25:56,73
2025-06-12 10:26:00,72
2025-06-12 10:26:04,71
2025-06-12 10:26:09,72
2025-06-12 10:26:13,72
2025-06-12 10:26:22,75
2025-06-12 10:26:25,73
2025-06-12 10:26:32,73
2025-06-12 10:26:36,73
2025-06-12 10:26:40,73
2025-06-12 10:26:45,73
2025-06-12 10:26:48,74
2025-06-12 10:26:54,75
2025-06-12 10:27:02,73
2025-06-12 10:27:04,72
2025-06-12 10:27:11,77
2025-06-12 10:27:17,69
2025-06-12 10:27:21,68
2025-06-12 10:27:26,68
2025-06-12 10:27:32,67
2025-06-12 10:27:37,69
2025-06-12 10:27:41,69
2025-06-12 10:27:47,69
2025-06-12 10:27:48,68
2025-06-12 10:27:56,70
2025-06-12 10:28:02,70
2025-06-12 10:28:03,70
2025-06-12 10:28:11,71
2025-06-12 10:28:17,69
2025-06-12 10:28:22,71
2025-06-12 10:28:23,71
2025-06-12 10:28:28,71
2025-06-12 10:28:33,72
2025-06-12 10:28:52,74
2025-06-12 10:28:57,71
2025-06-12 10:29:02,72
2025-06-12 10:29:06,71
2025-06-12 10:29:08,71
2025-06-12 10:29:13,78
2025-06-12 10:29:22,76
2025-06-12 10:29:27,73
2025-06-12 10:29:32,68
2025-06-12 10:29:34,68
2025-06-12 10:29:41,69
2025-06-12 10:29:43,68
2025-06-12 10:29:50,71
