timestamp,success,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,gaze_direction,overall_confidence,pupil_classification,pupil_detected,iris_detected,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_magnitude,concentricity_score,pupil_circularity,time
2025-06-05 16:26:00.000,True,0.0,11.8,0.0,Center,0.2420423603398216,Unknown,True,False,130,93,0,0,0.0,0.0,0.3227231471197621,2025-06-05 16:26:00.000
2025-06-05 16:26:00.500,True,0.0,11.8,0.0,Center,0.2805219172495224,Unknown,True,False,122,128,0,0,0.0,0.0,0.3740292229993632,2025-06-05 16:26:00.500
2025-06-05 16:26:01.000,True,0.0,11.8,0.0,Center,0.3007597529054328,Unknown,True,False,128,218,0,0,0.0,0.0,0.4010130038739103,2025-06-05 16:26:01.000
2025-06-05 16:26:01.500,True,0.0,11.8,0.0,Center,0.2445654461050066,Unknown,True,False,0,100,0,0,0.0,0.0,0.3260872614733421,2025-06-05 16:26:01.500
2025-06-05 16:26:02.000,True,0.0,11.8,0.0,Center,0.4851803726353338,Unknown,True,False,7,219,0,0,0.0,0.0,0.6469071635137784,2025-06-05 16:26:02.000
2025-06-05 16:26:02.500,True,0.0,11.8,0.0,Center,0.228343939242436,Unknown,True,False,176,79,0,0,0.0,0.0,0.3044585856565813,2025-06-05 16:26:02.500
2025-06-05 16:26:03.000,True,0.0,11.8,0.0,Center,0.4884809444149358,Unknown,True,False,103,213,0,0,0.0,0.0,0.6513079258865812,2025-06-05 16:26:03.000
2025-06-05 16:26:03.500,True,2.5812500000000003,11.8,0.21875,Down-Right,0.5751067422074451,Normal,True,True,99,127,66,112,0.5663927800122456,0.0,0.4626601133111676,2025-06-05 16:26:03.500
2025-06-05 16:26:04.000,True,0.0,11.8,0.0,Center,0.3351701145617638,Unknown,True,False,122,128,0,0,0.0,0.0,0.4468934860823518,2025-06-05 16:26:04.000
2025-06-05 16:26:04.500,True,5.2058823529411775,11.8,0.4411764705882353,Up-Right,0.4925271234211394,Slightly Dilated,True,True,93,112,80,124,0.5203472356751215,0.0,0.3387906851317092,2025-06-05 16:26:04.500
2025-06-05 16:26:05.000,True,0.0,11.8,0.0,Center,0.248602003985728,Unknown,True,False,34,4,0,0,0.0,0.0,0.3314693386476374,2025-06-05 16:26:05.000
2025-06-05 16:26:05.500,True,0.0,11.8,0.0,Center,0.3503310092692936,Unknown,True,False,69,191,0,0,0.0,0.0,0.4671080123590582,2025-06-05 16:26:05.500
2025-06-05 16:26:06.000,True,0.0,11.8,0.0,Center,0.4721618545610615,Unknown,True,False,12,194,0,0,0.0,0.0,0.6295491394147487,2025-06-05 16:26:06.000
2025-06-05 16:26:06.500,True,0.0,11.8,0.0,Center,0.3348186329284845,Unknown,True,False,54,1,0,0,0.0,0.0,0.446424843904646,2025-06-05 16:26:06.500
