timestamp,success,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,gaze_direction,overall_confidence,pupil_classification,pupil_detected,iris_detected,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_magnitude,concentricity_score,pupil_circularity
2025-06-05 17:13:12.000,True,0.0,11.8,0.0,Center,0.2440734804171703,Unknown,True,False,21,69,0,0,0.0,0.0,0.3254313072228937
2025-06-05 17:13:12.500,True,0.0,11.8,0.0,Center,0.3173747150514006,Unknown,True,False,163,172,0,0,0.0,0.0,0.4231662867352008
2025-06-05 17:13:13.000,True,0.0,11.8,0.0,Center,0.434295203866273,Unknown,True,False,8,54,0,0,0.0,0.0,0.5790602718216974
2025-06-05 17:13:13.500,True,0.0,11.8,0.0,Center,0.2338342415272535,Unknown,True,False,45,22,0,0,0.0,0.0,0.3117789887030047
2025-06-05 17:13:14.000,True,0.0,11.8,0.0,Center,0.3211614807461579,Unknown,True,False,199,54,0,0,0.0,0.0,0.4282153076615439
2025-06-05 17:13:14.500,True,0.0,11.8,0.0,Center,0.2570012556720137,Unknown,True,False,20,19,0,0,0.0,0.0,0.3426683408960183
2025-06-05 17:13:15.000,True,0.0,11.8,0.0,Center,0.3820273018991868,Unknown,True,False,91,138,0,0,0.0,0.0,0.5093697358655824
2025-06-05 17:13:15.500,True,0.0,11.8,0.0,Center,0.3650127984287779,Unknown,True,False,18,168,0,0,0.0,0.0,0.4866837312383705
2025-06-05 17:13:16.000,True,0.0,11.8,0.0,Center,0.2844222754888837,Unknown,True,False,48,24,0,0,0.0,0.0,0.3792297006518449
2025-06-05 17:13:16.500,True,0.0,11.8,0.0,Center,0.3631122394041065,Unknown,True,False,19,168,0,0,0.0,0.0,0.4841496525388087
2025-06-05 17:13:17.000,True,0.0,11.8,0.0,Center,0.2911780074899519,Unknown,True,False,129,12,0,0,0.0,0.0,0.3882373433199359
2025-06-05 17:13:17.500,True,0.0,11.8,0.0,Center,0.3820902627196966,Unknown,True,False,197,158,0,0,0.0,0.0,0.5094536836262621
2025-06-05 17:13:18.000,True,0.0,11.8,0.0,Center,0.3179483934747923,Unknown,True,False,195,160,0,0,0.0,0.0,0.423931191299723
2025-06-05 17:13:18.500,True,0.0,11.8,0.0,Center,0.2642041159459504,Unknown,True,False,193,158,0,0,0.0,0.0,0.3522721545946005
2025-06-05 17:13:19.000,True,0.0,11.8,0.0,Center,0.2511727781447664,Unknown,True,False,127,12,0,0,0.0,0.0,0.3348970375263552
2025-06-05 17:13:19.500,True,0.0,11.8,0.0,Center,0.3032683353847215,Unknown,True,False,92,125,0,0,0.0,0.0,0.404357780512962
2025-06-05 17:13:20.000,True,0.0,11.8,0.0,Center,0.4415620744731871,Unknown,True,False,8,43,0,0,0.0,0.0,0.5887494326309162
2025-06-05 17:13:20.500,True,0.0,11.8,0.0,Center,0.2744915861102391,Unknown,True,False,125,12,0,0,0.0,0.0,0.3659887814803189
2025-06-05 17:13:21.000,True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,9,168,0,0,0.0,0.0,0.6779386531492414
2025-06-05 17:13:21.500,True,0.0,11.8,0.0,Center,0.4039634476488207,Unknown,True,False,92,131,0,0,0.0,0.0,0.5386179301984276
2025-06-05 17:13:22.000,True,0.0,11.8,0.0,Center,0.4405003505038191,Unknown,True,False,8,162,0,0,0.0,0.0,0.5873338006717588
2025-06-05 17:13:22.500,True,0.0,11.8,0.0,Center,0.2722279769922152,Unknown,True,False,15,25,0,0,0.0,0.0,0.3629706359896202
2025-06-05 17:13:23.000,True,0.0,11.8,0.0,Center,0.2393277714922908,Unknown,True,False,19,66,0,0,0.0,0.0,0.3191036953230545
2025-06-05 17:13:23.500,True,0.0,11.8,0.0,Center,0.2385760610683035,Unknown,True,False,19,65,0,0,0.0,0.0,0.318101414757738
2025-06-05 17:13:24.000,True,0.0,11.8,0.0,Center,0.3271283557933777,Unknown,True,False,18,63,0,0,0.0,0.0,0.4361711410578369
2025-06-05 17:13:24.500,True,0.0,11.8,0.0,Center,0.2603462112081873,Unknown,True,False,116,81,0,0,0.0,0.0,0.3471282816109164
2025-06-05 17:13:25.000,True,0.0,11.8,0.0,Center,0.2485614023735528,Unknown,True,False,114,81,0,0,0.0,0.0,0.331415203164737
2025-06-05 17:13:25.500,True,0.0,11.8,0.0,Center,0.4805406987004642,Unknown,True,False,8,158,0,0,0.0,0.0,0.6407209316006189
2025-06-05 17:13:26.000,True,0.0,11.8,0.0,Center,0.3562086898730562,Unknown,True,False,49,140,0,0,0.0,0.0,0.4749449198307416
2025-06-05 17:13:26.500,True,0.0,11.8,0.0,Center,0.3952348522004739,Unknown,True,False,90,145,0,0,0.0,0.0,0.5269798029339652
2025-06-05 17:13:27.000,True,0.0,11.8,0.0,Center,0.4232693710832403,Unknown,True,False,88,144,0,0,0.0,0.0,0.5643591614443205
2025-06-05 17:13:27.500,True,0.0,11.8,0.0,Center,0.2597715664070091,Unknown,True,False,18,87,0,0,0.0,0.0,0.3463620885426788
2025-06-05 17:13:28.000,True,0.0,11.8,0.0,Center,0.2808647444272607,Unknown,True,False,19,68,0,0,0.0,0.0,0.3744863259030143
2025-06-05 17:13:28.500,True,0.0,11.8,0.0,Center,0.3318280837286275,Unknown,True,False,46,140,0,0,0.0,0.0,0.4424374449715033
2025-06-05 17:13:29.000,True,2.2692307692307696,11.8,0.1923076923076923,Up-Left,0.6260079802125579,Normal,True,True,113,84,134,94,0.2981975217849489,0.4036049564301022,0.3372094921037858
