timestamp,success,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,gaze_direction,overall_confidence,pupil_classification,pupil_detected,iris_detected,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_magnitude,concentricity_score,pupil_circularity
2025-06-05 17:58:48.000,True,0.0,11.8,0.0,Center,0.4180876382037974,Unknown,True,False,48,11,0,0,0.0,0.0,0.5574501842717299
2025-06-05 17:58:48.500,True,0.0,11.8,0.0,Center,0.2657293028133636,Unknown,True,False,109,123,0,0,0.0,0.0,0.3543057370844848
2025-06-05 17:58:49.000,True,0.0,11.8,0.0,Center,0.3801749907637275,Unknown,True,False,99,10,0,0,0.0,0.0,0.50689998768497
2025-06-05 17:58:49.500,True,0.0,11.8,0.0,Center,0.3192932381808942,Unknown,True,False,18,243,0,0,0.0,0.0,0.4257243175745256
2025-06-05 17:58:50.000,True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,140,117,0,0,0.0,0.0,0.6843733318895231
2025-06-05 17:58:50.500,True,0.0,11.8,0.0,Center,0.2793763156390342,Unknown,True,False,87,247,0,0,0.0,0.0,0.372501754185379
2025-06-05 17:58:51.000,True,0.0,11.8,0.0,Center,0.4806477761608403,Unknown,True,False,142,118,0,0,0.0,0.0,0.6408637015477872
2025-06-05 17:58:51.500,True,0.0,11.8,0.0,Center,0.4473373916881918,Unknown,True,False,139,116,0,0,0.0,0.0,0.5964498555842558
2025-06-05 17:58:52.000,True,0.0,11.8,0.0,Center,0.4684491735739383,Unknown,True,False,140,117,0,0,0.0,0.0,0.6245988980985845
2025-06-05 17:58:52.500,True,0.0,11.8,0.0,Center,0.3911896466945334,Unknown,True,False,21,243,0,0,0.0,0.0,0.5215861955927112
2025-06-05 17:58:53.000,True,0.0,11.8,0.0,Center,0.4648604565078801,Unknown,True,False,142,117,0,0,0.0,0.0,0.6198139420105068
2025-06-05 17:58:53.500,True,0.0,11.8,0.0,Center,0.2377620255706836,Unknown,True,False,74,243,0,0,0.0,0.0,0.3170160340942448
2025-06-05 17:58:54.000,True,0.0,11.8,0.0,Center,0.4761377829158882,Unknown,True,False,13,237,0,0,0.0,0.0,0.6348503772211843
2025-06-05 17:58:54.500,True,0.0,11.8,0.0,Center,0.4356847785253607,Unknown,True,False,125,127,0,0,0.0,0.0,0.5809130380338142
2025-06-05 17:58:55.000,True,0.0,11.8,0.0,Center,0.2619076407550829,Unknown,True,False,159,133,0,0,0.0,0.0,0.3492101876734438
2025-06-05 17:58:55.500,True,0.0,11.8,0.0,Center,0.3732588149020823,Unknown,True,False,10,137,0,0,0.0,0.0,0.497678419869443
2025-06-05 17:58:56.000,True,0.0,11.8,0.0,Center,0.3630763709417831,Unknown,True,False,5,119,0,0,0.0,0.0,0.4841018279223775
2025-06-05 17:58:56.500,True,0.0,11.8,0.0,Center,0.341919406363118,Unknown,True,False,2,126,0,0,0.0,0.0,0.4558925418174907
2025-06-05 17:58:57.000,True,0.0,11.8,0.0,Center,0.4276464927770137,Unknown,True,False,3,123,0,0,0.0,0.0,0.570195323702685
2025-06-05 17:58:57.500,True,0.0,11.8,0.0,Center,0.4461115413898743,Unknown,True,False,12,246,0,0,0.0,0.0,0.5948153885198324
2025-06-05 17:58:58.000,True,0.0,11.8,0.0,Center,0.2784799377385767,Unknown,True,False,121,129,0,0,0.0,0.0,0.3713065836514357
2025-06-05 17:58:58.500,True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,123,124,0,0,0.0,0.0,0.6811896880206173
2025-06-05 17:58:59.000,True,0.0,11.8,0.0,Center,0.2794817294599389,Unknown,True,False,182,132,0,0,0.0,0.0,0.3726423059465851
2025-06-05 17:58:59.500,True,0.0,11.8,0.0,Center,0.3194268405802296,Unknown,True,False,72,224,0,0,0.0,0.0,0.4259024541069727
2025-06-05 17:59:00.000,True,0.0,11.8,0.0,Center,0.3619377643240401,Unknown,True,False,82,228,0,0,0.0,0.0,0.4825836857653868
2025-06-05 17:59:00.500,True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,239,14,0,0,0.0,0.0,0.744008030531801
2025-06-05 17:59:01.000,True,0.0,11.8,0.0,Center,0.2926120386459896,Unknown,True,False,124,129,0,0,0.0,0.0,0.3901493848613195
2025-06-05 17:59:01.500,True,0.0,11.8,0.0,Center,0.2793447868288033,Unknown,True,False,5,127,0,0,0.0,0.0,0.3724597157717378
2025-06-05 17:59:02.000,True,0.0,11.8,0.0,Center,0.2549421689983683,Unknown,True,False,87,246,0,0,0.0,0.0,0.3399228919978244
2025-06-05 17:59:02.500,True,0.0,11.8,0.0,Center,0.254921787527842,Unknown,True,False,3,126,0,0,0.0,0.0,0.3398957167037894
2025-06-05 17:59:03.000,True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,41,17,0,0,0.0,0.0,0.6697123245100958
2025-06-05 17:59:03.500,True,0.0,11.8,0.0,Center,0.3655853140947931,Unknown,True,False,85,130,0,0,0.0,0.0,0.4874470854597241
2025-06-05 17:59:04.000,True,0.0,11.8,0.0,Center,0.2714104484028922,Unknown,True,False,5,129,0,0,0.0,0.0,0.361880597870523
2025-06-05 17:59:04.500,True,0.0,11.8,0.0,Center,0.2290803110370078,Unknown,True,False,7,130,0,0,0.0,0.0,0.3054404147160104
2025-06-05 17:59:05.000,True,0.0,11.8,0.0,Center,0.3167950310803402,Unknown,True,False,16,100,0,0,0.0,0.0,0.422393374773787
2025-06-05 17:59:05.500,True,0.0,11.8,0.0,Center,0.3625746931818335,Unknown,True,False,18,100,0,0,0.0,0.0,0.4834329242424447
