timestamp,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_direction,gaze_offset_x_normalized,gaze_offset_y_normalized,gaze_magnitude,overall_confidence,concentricity_score,pupil_circularity,pupil_classification,pupil_size_category,pupil_detected,iris_detected
2025-06-06T15:55:31.605902,0.0,11.8,0.0,145,119,0,0,Center,0.0,0.0,0.0,0.23340467425532035,0.0,0.31120623234042716,Unknown,Unknown,True,False
2025-06-06T15:55:31.660791,0.0,11.8,0.0,7,101,0,0,Center,0.0,0.0,0.0,0.2632844864992825,0.0,0.35104598199904335,Unknown,Unknown,True,False
2025-06-06T15:55:31.711432,0.0,11.8,0.0,11,240,0,0,Center,0.0,0.0,0.0,0.4088116228150487,0.0,0.5450821637533982,Unknown,Unknown,True,False
2025-06-06T15:55:31.774732,0.0,11.8,0.0,246,207,0,0,Center,0.0,0.0,0.0,0.249584459721544,0.0,0.33277927962872533,Unknown,Unknown,True,False
2025-06-06T15:55:31.831870,0.0,11.8,0.0,0,138,0,0,Center,0.0,0.0,0.0,0.25200923778910683,0.0,0.33601231705214246,Unknown,Unknown,True,False
2025-06-06T15:55:31.896367,0.0,11.8,0.0,161,109,0,0,Center,0.0,0.0,0.0,0.3780045370986466,0.0,0.5040060494648622,Unknown,Unknown,True,False
2025-06-06T15:55:31.951008,0.0,11.8,0.0,86,235,0,0,Center,0.0,0.0,0.0,0.3206330037526052,0.0,0.42751067167014023,Unknown,Unknown,True,False
2025-06-06T15:55:32.014972,0.0,11.8,0.0,37,27,0,0,Center,0.0,0.0,0.0,0.3764412500377474,0.0,0.5019216667169966,Unknown,Unknown,True,False
2025-06-06T15:55:32.071594,0.0,11.8,0.0,69,210,0,0,Center,0.0,0.0,0.0,0.3033229411700521,0.0,0.4044305882267361,Unknown,Unknown,True,False
2025-06-06T15:55:32.130374,4.0227272727272725,11.8,0.3409090909090909,183,126,158,126,Right,0.5681818181818182,0.0,0.5681818181818182,0.5254466780077934,0,0.38817001701169,Slightly Dilated,Large,True,True
2025-06-06T15:55:32.178308,0.0,11.8,0.0,153,89,0,0,Center,0.0,0.0,0.0,0.2783405521719271,0.0,0.37112073622923614,Unknown,Unknown,True,False
2025-06-06T15:55:32.230713,0.0,11.8,0.0,163,127,0,0,Center,0.0,0.0,0.0,0.22833173295641182,0.0,0.3044423106085491,Unknown,Unknown,True,False
2025-06-06T15:55:32.282620,0.0,11.8,0.0,44,5,0,0,Center,0.0,0.0,0.0,0.28410314233673684,0.0,0.3788041897823158,Unknown,Unknown,True,False
2025-06-06T15:55:32.344573,0.0,11.8,0.0,14,233,0,0,Center,0.0,0.0,0.0,0.3427109755100518,0.0,0.45694796734673576,Unknown,Unknown,True,False
2025-06-06T15:55:32.409028,0.0,11.8,0.0,31,46,0,0,Center,0.0,0.0,0.0,0.4591728092151923,0.0,0.6122304122869231,Unknown,Unknown,True,False
2025-06-06T15:55:32.456865,0.0,11.8,0.0,1,143,0,0,Center,0.0,0.0,0.0,0.24962696631402898,0.0,0.33283595508537195,Unknown,Unknown,True,False
2025-06-06T15:55:32.520809,0.0,11.8,0.0,50,187,0,0,Center,0.0,0.0,0.0,0.29602961007240325,0.0,0.39470614676320437,Unknown,Unknown,True,False
2025-06-06T15:55:32.572389,0.0,11.8,0.0,94,125,0,0,Center,0.0,0.0,0.0,0.23213136005414253,0.0,0.30950848007219006,Unknown,Unknown,True,False
2025-06-06T15:55:32.640613,0.0,11.8,0.0,57,10,0,0,Center,0.0,0.0,0.0,0.5,0.0,0.6892962903116867,Unknown,Unknown,True,False
2025-06-06T15:55:32.711554,0.0,11.8,0.0,8,100,0,0,Center,0.0,0.0,0.0,0.3941440135877042,0.0,0.5255253514502722,Unknown,Unknown,True,False
2025-06-06T15:55:32.773707,0.0,11.8,0.0,77,246,0,0,Center,0.0,0.0,0.0,0.36029748869858536,0.0,0.4803966515981138,Unknown,Unknown,True,False
2025-06-06T15:55:32.839058,0.0,11.8,0.0,163,123,0,0,Center,0.0,0.0,0.0,0.3877478585347153,0.0,0.5169971447129537,Unknown,Unknown,True,False
2025-06-06T15:55:32.900647,0.0,11.8,0.0,10,97,0,0,Center,0.0,0.0,0.0,0.27089896815125075,0.0,0.36119862420166765,Unknown,Unknown,True,False
2025-06-06T15:55:32.965492,0.0,11.8,0.0,175,94,0,0,Center,0.0,0.0,0.0,0.26541923721438865,0.0,0.35389231628585155,Unknown,Unknown,True,False
2025-06-06T15:55:33.026185,0.0,11.8,0.0,248,51,0,0,Center,0.0,0.0,0.0,0.29310181394263884,0.0,0.3908024185901851,Unknown,Unknown,True,False
2025-06-06T15:55:33.087197,0.0,11.8,0.0,44,225,0,0,Center,0.0,0.0,0.0,0.45734178502725154,0.0,0.609789046703002,Unknown,Unknown,True,False
2025-06-06T15:55:33.146388,0.0,11.8,0.0,164,125,0,0,Center,0.0,0.0,0.0,0.3639755244485067,0.0,0.4853006992646756,Unknown,Unknown,True,False
2025-06-06T15:55:33.207442,2.36,11.8,0.19999999999999998,165,126,122,110,Right,0.6615384615384615,0.24615384615384617,0.7058504459664284,0.6,0,0.5542683653663519,Normal,Normal,True,True
2025-06-06T15:55:33.263765,0.0,11.8,0.0,11,230,0,0,Center,0.0,0.0,0.0,0.4423105823546396,0.0,0.5897474431395194,Unknown,Unknown,True,False
2025-06-06T15:55:33.325389,0.0,11.8,0.0,235,132,0,0,Center,0.0,0.0,0.0,0.3192263549750033,0.0,0.425635139966671,Unknown,Unknown,True,False
2025-06-06T15:55:33.387259,0.0,11.8,0.0,9,87,0,0,Center,0.0,0.0,0.0,0.32039141830338547,0.0,0.42718855773784725,Unknown,Unknown,True,False
2025-06-06T15:55:33.448698,0.0,11.8,0.0,134,120,0,0,Center,0.0,0.0,0.0,0.48757592003502676,0.0,0.650101226713369,Unknown,Unknown,True,False
2025-06-06T15:55:33.503138,3.2181818181818187,11.8,0.27272727272727276,160,118,146,130,Up-Right,0.2545454545454545,-0.21818181818181817,0.33525616208337766,0.6715628307311364,0.32948767583324456,0.4426004081800824,Normal,Normal,True,True
2025-06-06T15:55:33.560149,0.0,11.8,0.0,88,122,0,0,Center,0.0,0.0,0.0,0.31511673883897895,0.0,0.42015565178530523,Unknown,Unknown,True,False
2025-06-06T15:55:33.608720,0.0,11.8,0.0,207,235,0,0,Center,0.0,0.0,0.0,0.2532715618603457,0.0,0.3376954158137943,Unknown,Unknown,True,False
2025-06-06T15:55:33.669166,3.003636363636364,11.8,0.2545454545454546,171,123,142,120,Right,0.5272727272727272,0.05454545454545454,0.5300865358950273,0.5089240779558788,0,0.36338611693381817,Normal,Normal,True,True
2025-06-06T15:55:33.725342,0.0,11.8,0.0,149,78,0,0,Center,0.0,0.0,0.0,0.22778196533418757,0.0,0.3037092871122501,Unknown,Unknown,True,False
2025-06-06T15:55:33.783010,0.0,11.8,0.0,43,11,0,0,Center,0.0,0.0,0.0,0.5,0.0,0.8370914418216024,Unknown,Unknown,True,False
2025-06-06T15:55:33.839058,0.0,11.8,0.0,20,244,0,0,Center,0.0,0.0,0.0,0.4641493069280257,0.0,0.6188657425707009,Unknown,Unknown,True,False
